date,category,type,headline
2026-06-07,migrate,issue,"CookRecord and UserInsight models added in 1-1-1 with no documented migration path; ogImage Bytes column growing unbounded"
2026-06-07,migrate,asset,"Schema now 13 models, 4 enums; CookRecord + UserInsight added in branch 1-1-1; cascade deletes mostly correct"
2026-06-07,price,issue,"Insight AI calls unbilled and unmetered; openai provider in recipe generation has no cost cap; Redis failure silently removes all rate limits"
2026-06-07,price,asset,"Redis-backed hourly rate limits per role/provider; free=3 Ollama/2 Claude, premium=10/5, admin=unlimited"
2026-06-07,recovery,issue,"CookRecord session can be started but never completed/abandoned; OG image canvas failure crashes recipe save silently; YouTube fetch has no timeout"
2026-06-07,recovery,asset,"CookRecord status lifecycle (STARTED/COMPLETED/ABANDONED) enables partial session tracking; Redis retry strategy in place"
2026-06-07,usage,issue,"CookRecord data collected but no aggregation endpoint; insight trigger unknown; storeMetrics data only via admin route"
2026-06-07,usage,asset,"CookRecord now persists full cook session data (ingredients, pantry/grocery split, servings, status); AppStore + PlayStore metrics polling in place"
2026-06-07,instruction,issue,"New 1-1-1 versioned route prefix undocumented; CookRecords, Insights, StoreMetrics, Chat endpoints absent from README; shared types not mentioned"
2026-06-07,instruction,asset,"Versioned route structure (1-1-1 prefix) established; legacy routes maintained; health and app-config endpoints stable"
2026-06-07,bug,issue,"6 production bug risks: unawaited placeholder init, Apple JWKS no cache, rate-limit race, HTML injection, missing email cascade, stemMatch false positives"
2026-06-07,bug,asset,"Strong validation on all input boundaries; ownership checks on all mutable routes; Prisma unique constraints prevent duplicates; auth rate limiting"
2026-06-07,analysis,issue,"No test suite; monolithic route files; AI insight trigger unknown; no DB connection pooling config; legacy routes create maintenance debt"
2026-06-07,analysis,asset,"Production-grade auth stack, typed throughout, multi-provider AI, solid input validation; codebase healthy for current scale"
